"pokedex_number","name","generation","is_legendary","is_mythical","species","type_1","type_2","height_m","weight_kg","hp","attack","defense","sp_attack","sp_defense","speed"
"1","Bulbasaur","1","0","0","Seed Pokémon","Grass","Poison","0.7","6.9","45","49","49","65","65","45"
"2","Ivysaur","1","0","0","Seed Pokémon","Grass","Poison","1","13","60","62","63","80","80","60"
"3","Venusaur","1","0","0","Seed Pokémon","Grass","Poison","2","100","80","82","83","100","100","80"
"3","Mega Venusaur","1","0","0","Seed Pokémon","Grass","Poison","2.4","155.5","80","100","123","122","120","80"
"4","Charmander","1","0","0","Lizard Pokémon","Fire","","0.6","8.5","39","52","43","60","50","65"
"5","Charmeleon","1","0","0","Flame Pokémon","Fire","","1.1","19","58","64","58","80","65","80"
"6","Charizard","1","0","0","Flame Pokémon","Fire","Flying","1.7","90.5","78","84","78","109","85","100"
"6","Mega Charizard X","1","0","0","Flame Pokémon","Fire","Dragon","1.7","110.5","78","130","111","130","85","100"
"6","Mega Charizard Y","1","0","0","Flame Pokémon","Fire","Flying","1.7","100.5","78","104","78","159","115","100"
"7","Squirtle","1","0","0","Tiny Turtle Pokémon","Water","","0.5","9","44","48","65","50","64","43"
"8","Wartortle","1","0","0","Turtle Pokémon","Water","","1","22.5","59","63","80","65","80","58"
"9","Blastoise","1","0","0","Shellfish Pokémon","Water","","1.6","85.5","79","83","100","85","105","78"
"9","Mega Blastoise","1","0","0","Shellfish Pokémon","Water","","1.6","101.1","79","103","120","135","115","78"
"10","Caterpie","1","0","0","Worm Pokémon","Bug","","0.3","2.9","45","30","35","20","20","45"
"11","Metapod","1","0","0","Cocoon Pokémon","Bug","","0.7","9.9","50","20","55","25","25","30"
"12","Butterfree","1","0","0","Butterfly Pokémon","Bug","Flying","1.1","32","60","45","50","90","80","70"
"13","Weedle","1","0","0","Hairy Bug Pokémon","Bug","Poison","0.3","3.2","40","35","30","20","20","50"
"14","Kakuna","1","0","0","Cocoon Pokémon","Bug","Poison","0.6","10","45","25","50","25","25","35"
"15","Beedrill","1","0","0","Poison Bee Pokémon","Bug","Poison","1","29.5","65","90","40","45","80","75"
"15","Mega Beedrill","1","0","0","Poison Bee Pokémon","Bug","Poison","1.4","40.5","65","150","40","15","80","145"
"16","Pidgey","1","0","0","Tiny Bird Pokémon","Normal","Flying","0.3","1.8","40","45","40","35","35","56"
"17","Pidgeotto","1","0","0","Bird Pokémon","Normal","Flying","1.1","30","63","60","55","50","50","71"
"18","Pidgeot","1","0","0","Bird Pokémon","Normal","Flying","1.5","39.5","83","80","75","70","70","101"
"18","Mega Pidgeot","1","0","0","Bird Pokémon","Normal","Flying","2.2","50.5","83","80","80","135","80","121"
"19","Rattata","1","0","0","Mouse Pokémon","Normal","","0.3","3.5","30","56","35","25","35","72"
"19","Alolan Rattata","1","0","0","Mouse Pokémon","Dark","Normal","0.3","3.8","30","56","35","25","35","72"
"20","Raticate","1","0","0","Mouse Pokémon","Normal","","0.7","18.5","55","81","60","50","70","97"
"20","Alolan Raticate","1","0","0","Mouse Pokémon","Dark","Normal","0.7","25.5","75","71","70","40","80","77"
"21","Spearow","1","0","0","Tiny Bird Pokémon","Normal","Flying","0.3","2","40","60","30","31","31","70"
"22","Fearow","1","0","0","Beak Pokémon","Normal","Flying","1.2","38","65","90","65","61","61","100"
"23","Ekans","1","0","0","Snake Pokémon","Poison","","2","6.9","35","60","44","40","54","55"
"24","Arbok","1","0","0","Cobra Pokémon","Poison","","3.5","65","60","95","69","65","79","80"
"25","Pikachu","1","0","0","Mouse Pokémon","Electric","","0.4","6","35","55","40","50","50","90"
"25","Partner Pikachu","1","0","0","Mouse Pokémon","Electric","","0.4","6","45","80","50","75","60","120"
"26","Raichu","1","0","0","Mouse Pokémon","Electric","","0.8","30","60","90","55","90","80","110"
"26","Alolan Raichu","1","0","0","Mouse Pokémon","Electric","Psychic","0.7","21","60","85","50","95","85","110"
"27","Sandshrew","1","0","0","Mouse Pokémon","Ground","","0.6","12","50","75","85","20","30","40"
"27","Alolan Sandshrew","1","0","0","Mouse Pokémon","Ice","Steel","0.7","40","50","75","90","10","35","40"
"28","Sandslash","1","0","0","Mouse Pokémon","Ground","","1","29.5","75","100","110","45","55","65"
"28","Alolan Sandslash","1","0","0","Mouse Pokémon","Ice","Steel","1.2","55","75","100","120","25","65","65"
"29","Nidoran♀","1","0","0","Poison Pin Pokémon","Poison","","0.4","7","55","47","52","40","40","41"
"30","Nidorina","1","0","0","Poison Pin Pokémon","Poison","","0.8","20","70","62","67","55","55","56"
"31","Nidoqueen","1","0","0","Drill Pokémon","Poison","Ground","1.3","60","90","92","87","75","85","76"
"32","Nidoran♂","1","0","0","Poison Pin Pokémon","Poison","","0.5","9","46","57","40","40","40","50"
"33","Nidorino","1","0","0","Poison Pin Pokémon","Poison","","0.9","19.5","61","72","57","55","55","65"
"34","Nidoking","1","0","0","Drill Pokémon","Poison","Ground","1.4","62","81","102","77","85","75","85"
"35","Clefairy","1","0","0","Fairy Pokémon","Fairy","","0.6","7.5","70","45","48","60","65","35"
"36","Clefable","1","0","0","Fairy Pokémon","Fairy","","1.3","40","95","70","73","95","90","60"
"37","Vulpix","1","0","0","Fox Pokémon","Fire","","0.6","9.9","38","41","40","50","65","65"
"37","Alolan Vulpix","1","0","0","Fox Pokémon","Ice","","0.6","9.9","38","41","40","50","65","65"
"38","Ninetales","1","0","0","Fox Pokémon","Fire","","1.1","19.9","73","76","75","81","100","100"
"38","Alolan Ninetales","1","0","0","Fox Pokémon","Ice","Fairy","1.1","19.9","73","67","75","81","100","109"
"39","Jigglypuff","1","0","0","Balloon Pokémon","Normal","Fairy","0.5","5.5","115","45","20","45","25","20"
"40","Wigglytuff","1","0","0","Balloon Pokémon","Normal","Fairy","1","12","140","70","45","85","50","45"
"41","Zubat","1","0","0","Bat Pokémon","Poison","Flying","0.8","7.5","40","45","35","30","40","55"
"42","Golbat","1","0","0","Bat Pokémon","Poison","Flying","1.6","55","75","80","70","65","75","90"
"43","Oddish","1","0","0","Weed Pokémon","Grass","Poison","0.5","5.4","45","50","55","75","65","30"
"44","Gloom","1","0","0","Weed Pokémon","Grass","Poison","0.8","8.6","60","65","70","85","75","40"
"45","Vileplume","1","0","0","Flower Pokémon","Grass","Poison","1.2","18.6","75","80","85","110","90","50"
"46","Paras","1","0","0","Mushroom Pokémon","Bug","Grass","0.3","5.4","35","70","55","45","55","25"
"47","Parasect","1","0","0","Mushroom Pokémon","Bug","Grass","1","29.5","60","95","80","60","80","30"
"48","Venonat","1","0","0","Insect Pokémon","Bug","Poison","1","30","60","55","50","40","55","45"
"49","Venomoth","1","0","0","Poison Moth Pokémon","Bug","Poison","1.5","12.5","70","65","60","90","75","90"
"50","Diglett","1","0","0","Mole Pokémon","Ground","","0.2","0.8","10","55","25","35","45","95"
"50","Alolan Diglett","1","0","0","Mole Pokémon","Ground","Steel","0.2","1","10","55","30","35","45","90"
"51","Dugtrio","1","0","0","Mole Pokémon","Ground","","0.7","33.3","35","100","50","50","70","120"
